Sentence Output
"What are all the southern states of the United States ?" LOC:state
"What is the highest Roman numeral ?" DESC:def
"What does camera-ready art mean ?" DESC:def
"What operating system do IBM-compatible machines use ?" ENTY:product
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ." LOC:country
"What is the only primate to lack pigment in the palms of its hands ?" ENTY:animal
"What was the name of Humphrey Bogart 's club in Casablanca ?" HUM:gr
"What invention does the principle of conservation of energy make impossible ?" ENTY:techmeth
"Who was the first woman to run the mile in less than 4 36893 minutes ?" HUM:ind
"When is a woman most fertile ?" NUM:date
"How do I make fuel bricks from recycled newspaper ?" DESC:manner
"What country surrounds San Marino , the world 's smallest Republic ?" LOC:country
"Why is hockey so violent ?" DESC:reason
"How many cullions does a male have ?" NUM:count
"What does IOC stand for ?" ABBR:exp
"What team did baseball 's St. Louis Browns become ?" HUM:gr
"What is the history of Hot Wheels cars , and how are they produced ?" DESC:desc
"How does psorisis disappear ?" DESC:manner
"Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?" HUM:ind
"What actor married John F. Kennedy 's sister ?" HUM:ind
"Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?" HUM:ind
"Who was the conservationist who served as spokesperson for Post Grape Nuts ?" HUM:ind
"Why do girls have to wear training bras ?" DESC:reason
"What country is the world 's largest importer of cognac ?" LOC:country
"What is the daily requirement of folic acid for an expectant mother ?" DESC:desc
"Who invented the road traffic cone ?" HUM:ind
"Where is the Rose Bowl played ?" LOC:other
"Why is poop sometimes different colors ?" DESC:reason
"How much folic acid should an expectant mother get daily ?" NUM:count
"Where is Trinidad ?" LOC:other
"What baseball player was walked the most times ?" HUM:ind
"What is a drought ?" DESC:def
"How is plastic made ?" DESC:manner
"What 's the dumbest domesticated animal ?" ENTY:animal
"What did Andy Hardy 's father do for a living ?" HUM:title
"What film featured Shirley MacLaine as a prostitute and Jack Lemmon as a pimp ?" ENTY:cremat
"What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?" ENTY:cremat
"What is the temperature for cooking ?" NUM:temp
"Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?" HUM:ind
"Where was helium first discovered , hence its name ?" LOC:other
"What colors is magenta made of ?" ENTY:color
"Who was the girl in Peter Sellers 's soup ?" HUM:ind
"How much money did the Marcos steal from their country ?" NUM:money
"What actor was the first man to appear on the cover of McCall 's ?" HUM:ind
"What interesting method was used to run the credits in the early Popeye cartoons ?" ENTY:techmeth
"How many maids were milking ?" NUM:count
"What country was Sir Edmund Hillary born in ?" LOC:country
"What World War II leader declared : `` The blow has been struck '' ?" HUM:ind
"How many `` eyes '' does a coconut have ?" NUM:count
"What country is proud to claim Volcano National Park ?" LOC:country
"What is the cost of the drugs used in tuberculosis treatments ?" NUM:money
"Who thought he 'd never see a poem lovely as a tree ?" HUM:ind
"Who 's baby was Sweet Pea on the Popeye cartoon ?" HUM:ind
"What causes panic attacks ?" DESC:reason
"Who portrayed Vincent Van Gogh in Lust for Life ?" HUM:ind
"Where is Tufts University ?" LOC:other
"Name the Marvel team loosely based on DC 's Justice League of America ?" HUM:gr
"What did San Francisco 's Milt Harper grow that measured 24 inches from tip to tip in 1974 ?" ENTY:other
"What is Drew Barrymore 's middle name ?" HUM:ind
"Where did he get the title ?" LOC:other
"What rum is so `` mixable '' it is a one-brand bar ?" ENTY:food
"What Argentine boxer was shot dead outside a Nevada brothel in May ?" HUM:ind
"The Iraqis launched their attack on Kuwait on what day ?" NUM:date
"What is a multiplexer ?" DESC:def
"What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?" NUM:date
"Who first broke the sound barrier ?" HUM:ind
"What is the origin of the word `` tampon '' ?" DESC:desc
"Which U.S. President is buried in Washington , D.C. ?" HUM:ind
"What is the all-time stock high of Apple Computer , and where can I find this information ?" NUM:other
"What is a storm surge ?" DESC:def
"What is the chemical reactivity of helium ?" NUM:other
"What is a rhomboideus minor ?" DESC:def
"Give a reason for American Indians oftentimes dropping out of school ." DESC:reason
"How fast do cheetahs run ?" NUM:speed
"Where do you find the answers for all these questions ?" LOC:other
"What two European countries entered the War of American Independence against the British ?" LOC:country
"Where can I get information about cystic fibrosis ?" LOC:other
"What animal was the heat-seeking missile called the Sidewinder named for ?" ENTY:animal
"What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?" ENTY:other
"Which breakfast cereal brought you `` the best each morning '' ?" ENTY:food
"What 's the setting of John Le Carre 's A Small Town in Germany ?" DESC:desc
"What are the major differences in the Catholic and Methodist religions ?" DESC:desc
"What is the correct way to mount a roll of toilet paper ?" ENTY:techmeth
"What are the top five oil-producing countries in the world ?" LOC:country
"What country contains the highest point in South America ?" LOC:country
"Where can I find scientific data , `` research papers , '' on textile engineering ?" LOC:other
"Who shot and killed himself while painting Wheatfield with Crows ?" HUM:ind
"What animal has the best hearing ?" ENTY:animal
"Who 's played the most games for the New York Yankees ?" HUM:ind
"What Honeymooners actress did Television magazine name as 1953 's most promising star ?" HUM:ind
"What is the alphabet for Latin ?" ENTY:letter
"What are the only players eligible to score points in Roller Derby called ?" HUM:title
"What Kenyan city is the safari center for East Africa ?" LOC:city
"Who was credited with saying : `` I never met a man I did n't like '' ?" HUM:ind
"How many mountains have been named for Presidents in the continental USA ?" NUM:count
"What comedian has a legendary reputation for stealing jokes ?" HUM:ind
"What nationality is a Sicilian ?" LOC:country
"What is Black Hills , South Dakota most famous for ?" DESC:reason
"What made the short-lived Star Hawks strip so unique ?" DESC:reason
"What was another name for East Germany ?" ENTY:termeq
"What do you need to do to marry someone in jail ?" DESC:desc
"How did Bob Marley die ?" DESC:manner
"What is the size of the largest akita ?" NUM:volsize
"What is the largest city in the world ?" LOC:city
"What 's the name of Tom Sawyer 's aunt with whom he lives ?" HUM:ind
"What is the best place to live in the world , considering climate , civilization ?" LOC:other
"Who is Count Cinzano ?" HUM:desc
"What is `` alternative '' anymore ?" DESC:def
"How much did a McDonald 's hamburger cost in 1963 ?" NUM:money
"What is the most common boy 's or girl 's name ?" HUM:ind
"Who did Napolean defeat at Jena and Auerstadt ?" HUM:ind
"What is the country of origin for the name Thomas ?" LOC:country
"How many people in America snore ?" NUM:count
"What government department did The Untouchables work for ?" HUM:gr
"What is the website for the USA journal ?" LOC:other
"What is the latitude and longitude of El Paso , Texas ?" NUM:other
"What 's the most popular contact lens color ?" ENTY:color
"What `` little red car '' is mentioned in pop singer Prince 's hit song ?" ENTY:other
"Who were the Yankee 's frequent enemies ?" HUM:gr
"Who was the prophet of the Muslim people ?" HUM:ind
"What must be exceeded to produce a sonic boom ?" ENTY:other
"What letter appears on the cold-water tap in Spain ?" ENTY:letter
"What are the diseases that can be cured by black cumin ?" ENTY:dismed
"What do the names Andrew and Christina mean ?" DESC:def
"Who wrote The Look of Love after viewing Ursula Andress ?" HUM:ind
"What are the four largest mountain ranges in the continental United States ?" LOC:mount
"What U.S. state comes last in an alphabetical list ?" LOC:state
"What do the Japanese call Japan ?" ENTY:termeq
"What 's the difference between TFT and dual-scan display ?" DESC:desc
"What garment was named for Bradley , Voorhees and Day ?" ENTY:product
"What kind of species is the monster in the film `` Jaws '' ?" ENTY:animal
"How do you clean up a cache ?" DESC:manner
"What 's the world 's longest suspension bridge ?" LOC:other
"How often are brain cells replaced ?" NUM:count
"Which Latin American country is the largest ?" LOC:country
"What films featured the character Popeye Doyle ?" ENTY:cremat
"What U.S. city was named for St. Francis of Assisi ?" LOC:city
"What was the verdict in the trial of Lizzie Borden ?" DESC:desc
"What U.S. state is Dixville Notch in ?" LOC:state
"How big is the Electoral College ?" NUM:volsize
"What is the name given to a group of geese ?" ENTY:animal
"How many people lived in Nebraska in the mid 1900s ?" NUM:count
"How many Fig Newtons are there to the pound ?" NUM:count
"What does Knight Ridder publish ?" ENTY:cremat
"What is the meaning of thalassemia ?" DESC:def
"What country has the port of Haifa ?" LOC:country
"What kind of hat does Bat Masterson wear ?" ENTY:product
"What other name were the `` Little Rascals '' known as ?" ENTY:termeq
"What is the treatment for depression ?" ENTY:techmeth
"What is the name of the largest water conservancy project in China ?" ENTY:event
"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?" HUM:ind
"What 's the slowest Olympic swimming stroke ?" ENTY:techmeth
"What TV talk-show host lends his name to a line of men 's clothing ?" HUM:ind
"Why is the word `` abbreviation '' so long ?" DESC:reason
"What does a philatelist collect ?" ENTY:other
"What is the Order of the Arrow in Boy Scouts ?" DESC:def
"What are Cushman and Wakefield known for ?" DESC:reason
"Who is the one Independent Member of Congress ?" HUM:ind
"How do you do a topic outline ?" DESC:manner
"Who is Samuel Pickering ?" HUM:desc
"What 's the meaning of the name Tatiana ?" DESC:def
"How do you make a computer chip ?" DESC:manner
"What Italian liner was hijacked in 1985 ?" ENTY:veh
"Where is the Keck telescope ?" LOC:other
"Who is the voice of Miss Piggy ?" HUM:ind
"What TV series changed the names to protect the innocent ?" ENTY:cremat
"When Mighty Mouse was conceived , what was his original name ?" HUM:ind
"What did the ancients call the four great elements ?" ENTY:substance
"What happened in the city of Dogtown in 1899 ?" DESC:desc
"How much was the minimum wage in 1991 ?" NUM:money
"What African capital is named for a U.S. president ?" LOC:city
"What is the acreage of the Chappellet vineyard ?" NUM:volsize
"What disease does Katharine Hepburn have that makes her voice shake ?" ENTY:dismed
"How many different vegetation zones are there ?" NUM:count
"What film or films has Jude Law appeared in ?" ENTY:cremat
"Ray Charles is best known for playing what instrument ?" ENTY:instru
"What trophy is awarded to the winners of the Super Bowl ?" ENTY:other
"What was the real name of writer Ross Macdonald , creator of the hero Lew Archer ?" HUM:ind
"What award is the `` Oscar '' of advertising ?" ENTY:other
"What are the 7 principles of learning from the Institute for Research on Learning , IRL ?" ENTY:techmeth
"What kinds of animals are in Cambodia ?" ENTY:animal
"What is the Hub of London ?" DESC:def
"What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?" DESC:reason
"What famous events have happened on March 27 ?" ENTY:event
"What U.S. state ends with a G ?" LOC:state
"Where does the weird shape of the dinner fish knife originate from ?" LOC:other
"What can one see in Reims ?" ENTY:other
"What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?" HUM:ind
"What year did Spielberg make `` Jaws '' ?" NUM:date
"What is the name of the planet that the Ewoks live on ?" LOC:other
"What is Jell-O made from ?" ENTY:substance
"What web sites are linked to the Report on Genesis Eldercare ?" LOC:other
"What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?" ENTY:cremat
